SYMBOL,NAME OF COMPANY
PSPPROJECT,PSP Projects Limited
PTC,PTC India Limited
PTCIL,PTC Industries Limited
PTL,PTL Enterprises Limited
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited
PURVA,Puravankara Limited
PVP,PVP Ventures Limited
PVRINOX,PVR INOX Limited
PVSL,Popular Vehicles and Services Limited
PYRAMID,Pyramid Technoplast Limited
QUESS,Quess Corp Limited
QUICKHEAL,Quick Heal Technologies Limited
RACE,Race Eco Chain Limited
RADAAN,Radaan Mediaworks India Limited
RADHIKAJWE,Radhika Jeweltech Limited
RADIANTCMS,Radiant Cash Management Services Limited
RADICO,Radico Khaitan Limited
RADIOCITY,Music Broadcast Limited
RAILTEL,Railtel Corporation Of India Limited
RAIN,Rain Industries Limited
RAINBOW,Rainbow Childrens Medicare Limited
RAJESHEXPO,Rajesh Exports Limited
RAJMET,Rajnandini Metal Limited
RAJRATAN,Rajratan Global Wire Limited
RAJRILTD,Raj Rayon Industries Limited
RAJSREESUG,Rajshree Sugars & Chemicals Limited
RAJTV,Raj Television Network Limited
RALLIS,Rallis India Limited
RAMANEWS,Shree Rama Newsprint Limited
RAMAPHO,Rama Phosphates Limited
RAMASTEEL,Rama Steel Tubes Limited
RAMCOCEM,The Ramco Cements Limited
RAMCOIND,Ramco Industries Limited
RAMCOSYS,Ramco Systems Limited
RAMKY,Ramky Infrastructure Limited
RAMRAT,Ram Ratna Wires Limited
RANASUG,Rana Sugars Limited
RANEENGINE,Rane Engine Valve Limited
RANEHOLDIN,Rane Holdings Limited
RATEGAIN,Rategain Travel Technologies Limited
RATNAMANI,Ratnamani Metals & Tubes Limited
RATNAVEER,Ratnaveer Precision Engineering Limited
RAYMOND,Raymond Limited
RBA,Restaurant Brands Asia Limited
RBL,Rane Brake Lining Limited
RBLBANK,RBL Bank Limited
RBZJEWEL,RBZ Jewellers Limited
RCF,Rashtriya Chemicals and Fertilizers Limited
RECLTD,REC Limited
REDINGTON,Redington Limited
REDTAPE,Redtape Limited
REFEX,Refex Industries Limited
REGENCERAM,Regency Ceramics Limited
RELAXO,Relaxo Footwears Limited
RELCHEMQ,Reliance Chemotex Industries Limited
RELIABLE,Reliable Data Services Limited
RELIANCE,Reliance Industries Limited
RELIGARE,Religare Enterprises Limited
RELINFRA,Reliance Infrastructure Limited
REMSONSIND,Remsons Industries Limited
RENUKA,Shree Renuka Sugars Limited
REPCOHOME,Repco Home Finance Limited
REPL,Rudrabhishek Enterprises Limited
REPRO,Repro India Limited
RESPONIND,Responsive Industries Limited
RETAIL,JHS Svendgaard Retail Ventures Limited
RGL,Renaissance Global Limited
RHFL,Reliance Home Finance Limited
RHIM,RHI MAGNESITA INDIA LIMITED
RHL,Robust Hotels Limited
RICOAUTO,Rico Auto Industries Limited
RIIL,Reliance Industrial Infrastructure Limited
RISHABH,Rishabh Instruments Limited
RITCO,Ritco Logistics Limited
RITES,RITES Limited
RKDL,Ravi Kumar Distilleries Limited
RKEC,RKEC Projects Limited
RKFORGE,Ramkrishna Forgings Limited
RKSWAMY,R K Swamy Limited
RML,Rane (Madras) Limited
ROHLTD,Royal Orchid Hotels Limited
ROLEXRINGS,Rolex Rings Limited
ROLLT,Rollatainers Limited
ROML,Raj Oil Mills Limited
ROSSARI,Rossari Biotech Limited
ROSSELLIND,Rossell India Limited
ROTO,Roto Pumps Limited
ROUTE,ROUTE MOBILE LIMITED
RPGLIFE,RPG Life Sciences Limited
RPOWER,Reliance Power Limited
RPPINFRA,R.P.P. Infra Projects Limited
RPPL,Rajshree Polypack Limited
RPSGVENT,RPSG VENTURES LIMITED
RPTECH,Rashi Peripherals Limited
RRKABEL,R R Kabel Limited
RSSOFTWARE,R. S. Software (India) Limited
RSWM,RSWM Limited
RSYSTEMS,R Systems International Limited
RTNINDIA,RattanIndia Enterprises Limited
RTNPOWER,RattanIndia Power Limited
RUBYMILLS,The Ruby Mills Limited
RUCHINFRA,Ruchi Infrastructure Limited
RUCHIRA,Ruchira Papers Limited
RUPA,Rupa & Company Limited
RUSHIL,Rushil Decor Limited
RUSTOMJEE,Keystone Realtors Limited
RVHL,Ravinder Heights Limited
RVNL,Rail Vikas Nigam Limited
S&SPOWER,S&S Power Switchgears Limited
SABEVENTS,Sab Events & Governance Now Media Limited
SABTNL,Sri Adhikari Brothers Television Network Limited
SADBHAV,Sadbhav Engineering Limited
SADBHIN,Sadbhav Infrastructure Project Limited
SADHNANIQ,Sadhana Nitrochem Limited
SAFARI,Safari Industries (India) Limited
SAGARDEEP,Sagardeep Alloys Limited
SAGCEM,Sagar Cements Limited
SAH,Sah Polymers Limited
SAHYADRI,Sahyadri Industries Limited
SAIL,Steel Authority of India Limited
SAKAR,Sakar Healthcare Limited
SAKHTISUG,Sakthi Sugars Limited
SAKSOFT,Saksoft Limited
SAKUMA,Sakuma Exports Limited
SALASAR,Salasar Techno Engineering Limited
SALONA,Salona Cotspin Limited
SALSTEEL,S.A.L. Steel Limited
SALZERELEC,Salzer Electronics Limited
SAMBHAAV,Sambhaav Media Limited
SAMHI,Samhi Hotels Limited
SAMPANN,Sampann Utpadan India Limited
SANDESH,The Sandesh Limited
SANDHAR,Sandhar Technologies Limited
SANDUMA,Sandur Manganese & Iron Ores Limited
SANGAMIND,Sangam (India) Limited
SANGHIIND,Sanghi Industries Limited
SANGHVIMOV,Sanghvi Movers Limited
SANGINITA,Sanginita Chemicals Limited
SANOFI,Sanofi India Limited
SANSERA,Sansera Engineering Limited
SAPPHIRE,Sapphire Foods India Limited
SARDAEN,Sarda Energy & Minerals Limited
SAREGAMA,Saregama India Limited
SARLAPOLY,Sarla Performance Fibers Limited
SARVESHWAR,Sarveshwar Foods Limited
SASKEN,Sasken Technologies Limited
SASTASUNDR,Sastasundar Ventures Limited
SATIA,Satia Industries Limited
SATIN,Satin Creditcare Network Limited
SATINDLTD,Sat Industries Limited
SAURASHCEM,Saurashtra Cement Limited
SBC,SBC Exports Limited
SBCL,Shivalik Bimetal Controls Limited
SBFC,SBFC Finance Limited
SBGLP,Suratwwala Business Group Limited
SBICARD,SBI Cards and Payment Services Limited
SBILIFE,SBI Life Insurance Company Limited
SBIN,State Bank of India
SCHAEFFLER,Schaeffler India Limited
SCHAND,S Chand And Company Limited
SCHNEIDER,Schneider Electric Infrastructure Limited
SCI,Shipping Corporation Of India Limited
SCILAL,Shipping Corporation of India Land and Assets Limited
SCPL,Sheetal Cool Products Limited
SDBL,Som Distilleries & Breweries Limited
SEAMECLTD,Seamec Limited
SECMARK,SecMark Consultancy Limited
SECURCRED,SecUR Credentials Limited
SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED
SEJALLTD,Sejal Glass Limited
SELAN,Selan Exploration Technology Limited
SELMC,SEL Manufacturing Company Limited
SEMAC,SEMAC CONSULTANTS LIMITED
SENCO,Senco Gold Limited
SEPC,SEPC Limited
SEPC-RE2,SEPC Limited-RE
SEQUENT,Sequent Scientific Limited
SERVOTECH,Servotech Power Systems Limited
SESHAPAPER,Seshasayee Paper and Boards Limited
SETCO,Setco Automotive Limited
SEYAIND,Seya Industries Limited
SFL,Sheela Foam Limited
SGIL,Synergy Green Industries Limited
SGL,STL Global Limited
SHAH,Shah Metacorp Limited
SHAHALLOYS,Shah Alloys Limited
SHAILY,Shaily Engineering Plastics Limited
SHAKTIPUMP,Shakti Pumps (India) Limited
SHALBY,Shalby Limited
SHALPAINTS,Shalimar Paints Limited
SHANKARA,Shankara Building Products Limited
SHANTI,Shanti Overseas (India) Limited
SHANTIGEAR,Shanthi Gears Limited
SHARDACROP,Sharda Cropchem Limited
SHARDAMOTR,Sharda Motor Industries Limited
SHAREINDIA,Share India Securities Limited
SHEMAROO,Shemaroo Entertainment Limited
SHILPAMED,Shilpa Medicare Limited
SHIVALIK,Shivalik Rasayan Limited
SHIVAMAUTO,Shivam Autotech Limited
SHIVAMILLS,Shiva Mills Limited
SHIVATEX,Shiva Texyarn Limited
SHK,S H Kelkar and Company Limited
SHOPERSTOP,Shoppers Stop Limited
SHRADHA,Shradha Infraprojects Limited
SHREDIGCEM,Shree Digvijay Cement Co.Ltd
SHREECEM,SHREE CEMENT LIMITED
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited
SHREERAMA,Shree Rama Multi-Tech Limited
SHRENIK,Shrenik Limited
SHREYANIND,Shreyans Industries Limited
SHREYAS,Shreyas Shipping & Logistics Limited
SHRIPISTON,Shriram Pistons & Rings Limited
SHRIRAMFIN,Shriram Finance Limited
SHRIRAMPPS,Shriram Properties Limited
SHYAMCENT,Shyam Century Ferrous Limited
SHYAMMETL,Shyam Metalics and Energy Limited
SHYAMTEL,Shyam Telecom Limited
SIEMENS,Siemens Limited
SIGACHI,Sigachi Industries Limited
SIGIND,Signet Industries Limited
SIGMA,Sigma Solve Limited
SIGNATURE,Signatureglobal (India) Limited
SIGNPOST,Signpost India Limited
SIKKO,Sikko Industries Limited
SIL,Standard Industries Limited
SILGO,Silgo Retail Limited
SILINV,SIL Investments Limited
SILLYMONKS,Silly Monks Entertainment Limited
SILVERTUC,Silver Touch Technologies Limited
SIMBHALS,Simbhaoli Sugars Limited
SIMPLEXINF,Simplex Infrastructures Limited
SINCLAIR,Sinclairs Hotels Limited
SINDHUTRAD,Sindhu Trade Links Limited
SINTERCOM,Sintercom India Limited
SIRCA,Sirca Paints India Limited
SIS,SIS LIMITED
SITINET,Siti Networks Limited
SIYSIL,Siyaram Silk Mills Limited
SJS,S.J.S. Enterprises Limited
SJVN,SJVN Limited
SKFINDIA,SKF India Limited
SKIPPER,Skipper Limited
SKMEGGPROD,SKM Egg Products Export (India) Limited
SKYGOLD,Sky Gold Limited
SMARTLINK,Smartlink Holdings Limited
SMCGLOBAL,SMC Global Securities Limited
SMLISUZU,SML Isuzu Limited
SMLT,Sarthak Metals Limited
SMSLIFE,SMS Lifesciences India Limited
SMSPHARMA,SMS Pharmaceuticals Limited
SNOWMAN,Snowman Logistics Limited
SOBHA,Sobha Limited
SOFTTECH,Softtech Engineers Limited
SOLARA,Solara Active Pharma Sciences Limited
SOLARINDS,Solar Industries India Limited
SOMANYCERA,Somany Ceramics Limited
SOMATEX,Soma Textiles & Industries Limited
SOMICONVEY,Somi Conveyor Beltings Limited
SONACOMS,Sona BLW Precision Forgings Limited
SONAMLTD,SONAM LIMITED
SONATSOFTW,Sonata Software Limited
SOTL,Savita Oil Technologies Limited
SOUTHBANK,The South Indian Bank Limited
SOUTHWEST,South West Pinnacle Exploration Limited
SPAL,S. P. Apparels Limited
SPANDANA,Spandana Sphoorty Financial Limited
SPARC,Sun Pharma Advanced Research Company Limited
SPCENET,Spacenet Enterprises India Limited
SPECIALITY,Speciality Restaurants Limited
SPENCERS,Spencer's Retail Limited
SPIC,Southern Petrochemicals Industries Corporation  Limited
SPLIL,SPL Industries Limited
SPLPETRO,Supreme Petrochem Limited
SPMLINFRA,SPML Infra Limited
SPORTKING,Sportking India Limited
SPYL,Shekhawati Poly-Yarn Limited
SREEL,Sreeleathers Limited
SRF,SRF Limited
SRGHFL,SRG Housing Finance Limited
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
SRM,SRM Contractors Limited
SRPL,Shree Ram Proteins Limited
SSWL,Steel Strips Wheels Limited
STANLEY,Stanley Lifestyles Limited
STAR,Strides Pharma Science Limited
STARCEMENT,Star Cement Limited
STARHEALTH,Star Health and Allied Insurance Company Limited
STARPAPER,Star Paper Mills Limited
STARTECK,Starteck Finance Limited
STCINDIA,The State Trading Corporation of India Limited
STEELCAS,Steelcast Limited
STEELCITY,Steel City Securities Limited
STEELXIND,STEEL EXCHANGE INDIA LIMITED
STEL,Stel Holdings Limited
STERTOOLS,Sterling Tools Limited
STLTECH,Sterlite Technologies Limited
STOVEKRAFT,Stove Kraft Limited
STYLAMIND,Stylam Industries Limited
STYRENIX,Styrenix Performance Materials Limited
SUBEXLTD,Subex Limited
SUBROS,Subros Limited
SUDARSCHEM,Sudarshan Chemical Industries Limited
SUKHJITS,Sukhjit Starch & Chemicals Limited
SULA,Sula Vineyards Limited
SUMICHEM,Sumitomo Chemical India Limited
SUMIT,Sumit Woods Limited
SUMMITSEC,Summit Securities Limited
SUNCLAY,Sundaram Clayton Limited
SUNDARAM,Sundaram Multi Pap Limited
SUNDARMFIN,Sundaram Finance Limited
SUNDARMHLD,Sundaram Finance Holdings Limited
SUNDRMBRAK,Sundaram Brake Linings Limited
SUNDRMFAST,Sundram Fasteners Limited
SUNFLAG,Sunflag Iron And Steel Company Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
SUNTECK,Sunteck Realty Limited
SUNTV,Sun TV Network Limited
SUPERHOUSE,Superhouse Limited
SUPERSPIN,Super Spinning Mills Limited
SUPRAJIT,Suprajit Engineering Limited
SUPREMEENG,Supreme Engineering Limited
SUPREMEIND,Supreme Industries Limited
SUPREMEINF,Supreme Infrastructure India Limited
SUPRIYA,Supriya Lifescience Limited
SURAJEST,Suraj Estate Developers Limited
SURANASOL,Surana Solar Limited
SURANAT&P,Surana Telecom and Power Limited
SURYALAXMI,Suryalakshmi Cotton Mills Limited
SURYAROSNI,Surya Roshni Limited
SURYODAY,Suryoday Small Finance Bank Limited
SUTLEJTEX,Sutlej Textiles and Industries Limited
SUULD,Suumaya Industries Limited
SUVEN,Suven Life Sciences Limited
SUVENPHAR,Suven Pharmaceuticals Limited
SUVIDHAA,Suvidhaa Infoserve Limited
SUZLON,Suzlon Energy Limited
SVLL,Shree Vasu Logistics Limited
SVPGLOB,SVP GLOBAL TEXTILES LIMITED
SWANENERGY,Swan Energy Limited
SWARAJENG,Swaraj Engines Limited
SWELECTES,Swelect Energy Systems Limited
SWSOLAR,Sterling and Wilson Renewable Energy Limited
SYMPHONY,Symphony Limited
SYNCOMF,Syncom Formulations (India) Limited
SYNGENE,Syngene International Limited
SYRMA,Syrma SGS Technology Limited
TAINWALCHM,Tainwala Chemical and Plastic (I) Limited
TAJGVK,Taj GVK Hotels & Resorts Limited
TAKE,Take Solutions Limited
TALBROAUTO,Talbros Automotive Components Limited
TANLA,Tanla Platforms Limited
TARACHAND,Tara Chand InfraLogistic Solutions Limited
TARAPUR,Tarapur Transformers Limited
TARC,TARC Limited
TARMAT,Tarmat Limited
TARSONS,Tarsons Products Limited
TASTYBITE,Tasty Bite Eatables Limited
TATACHEM,Tata Chemicals Limited
TATACOMM,Tata Communications Limited
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
TATAELXSI,Tata Elxsi Limited
TATAINVEST,Tata Investment Corporation Limited
TATAMOTORS,Tata Motors Limited
TATAMTRDVR,Tata Motors Limited
TATAPOWER,Tata Power Company Limited
TATASTEEL,Tata Steel Limited
TATATECH,Tata Technologies Limited
TATVA,Tatva Chintan Pharma Chem Limited
TBOTEK,TBO Tek Limited
TBZ,Tribhovandas Bhimji Zaveri Limited
TCI,Transport Corporation of India Limited
TCIEXP,TCI Express Limited
TCIFINANCE,TCI Finance Limited
TCLCONS,Tantia Constructions Limited
TCNSBRANDS,TCNS Clothing Co. Limited
TCPLPACK,TCPL Packaging Limited
TCS,Tata Consultancy Services Limited
TDPOWERSYS,TD Power Systems Limited
TEAMLEASE,Teamlease Services Limited
TECHIN,Techindia Nirman Limited
TECHM,Tech Mahindra Limited
TECHNOE,Techno Electric & Engineering Company Limited
TECILCHEM,TECIL Chemicals and Hydro Power Limited
TEGA,Tega Industries Limited
TEJASNET,Tejas Networks Limited
TEMBO,Tembo Global Industries Limited
TERASOFT,Tera Software Limited
TEXINFRA,Texmaco Infrastructure & Holdings Limited
TEXMOPIPES,Texmo Pipes and Products Limited
TEXRAIL,Texmaco Rail & Engineering Limited
TFCILTD,Tourism Finance Corporation of India Limited
TFL,Transwarranty Finance Limited
TGBHOTELS,TGB Banquets And Hotels Limited
THANGAMAYL,Thangamayil Jewellery Limited
THEINVEST,The Investment Trust Of India Limited
THEJO,Thejo Engineering Limited
THEMISMED,Themis Medicare Limited
THERMAX,Thermax Limited
THOMASCOOK,Thomas Cook  (India)  Limited
THOMASCOTT,Thomas Scott (India) Limited
THYROCARE,Thyrocare Technologies Limited
TI,Tilaknagar Industries Limited
TIDEWATER,Tide Water Oil Company (India) Limited
TIIL,Technocraft Industries (India) Limited
TIINDIA,Tube Investments of India Limited
TIJARIA,Tijaria Polypipes Limited
TIL,TIL Limited
TIMESGTY,Times Guaranty Limited
TIMETECHNO,Time Technoplast Limited
TIMKEN,Timken India Limited
TIPSFILMS,Tips Films Limited
TIPSINDLTD,TIPS Industries Limited
TIRUMALCHM,Thirumalai Chemicals Limited
TIRUPATIFL,Tirupati Forge Limited
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED
TITAN,Titan Company Limited
TMB,Tamilnad Mercantile Bank Limited
TNPETRO,Tamilnadu PetroProducts Limited
TNPL,Tamil Nadu Newsprint & Papers Limited
TNTELE,Tamilnadu Telecommunication Limited
TOKYOPLAST,Tokyo Plast International Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
TORNTPOWER,Torrent Power Limited
TOTAL,Total Transport Systems Limited
TOUCHWOOD,Touchwood Entertainment Limited
TPHQ,Teamo Productions HQ Limited
TPLPLASTEH,TPL Plastech Limited
TRACXN,Tracxn Technologies Limited
TREEHOUSE,Tree House Education & Accessories Limited
TREJHARA,TREJHARA SOLUTIONS LIMITED
TREL,Transindia Real Estate Limited
TRENT,Trent Limited
TRF,TRF Limited
TRIDENT,Trident Limited
TRIGYN,Trigyn Technologies Limited
TRIL,Transformers And Rectifiers (India) Limited
TRITURBINE,Triveni Turbine Limited
TRIVENI,Triveni Engineering & Industries Limited
TRU,TruCap Finance Limited
TTKHLTCARE,TTK Healthcare Limited
TTKPRESTIG,TTK Prestige Limited
TTL,T T Limited
TTML,Tata Teleservices (Maharashtra) Limited
TV18BRDCST,TV18 Broadcast Limited
TVSELECT,TVS Electronics Limited
TVSHLTD,TVS Holdings Limited
TVSMOTOR,TVS Motor Company Limited
TVSSCS,TVS Supply Chain Solutions Limited
TVSSRICHAK,TVS Srichakra Limited
TVTODAY,TV Today Network Limited
TVVISION,TV Vision Limited
UBL,United Breweries Limited
UCAL,UCAL LIMITED
UCOBANK,UCO Bank
UDAICEMENT,Udaipur Cement Works Limited
UDS,Updater Services Limited
UFLEX,UFLEX Limited
UFO,UFO Moviez India Limited
UGARSUGAR,The Ugar Sugar Works Limited
UGROCAP,Ugro Capital Limited
UJJIVANSFB,Ujjivan Small Finance Bank Limited
ULTRACEMCO,UltraTech Cement Limited
UMAEXPORTS,Uma Exports Limited
UMANGDAIRY,Umang Dairies Limited
UMESLTD,Usha Martin Education & Solutions Limited
UNICHEMLAB,Unichem Laboratories Limited
UNIDT,United Drilling Tools Limited
UNIENTER,Uniphos Enterprises Limited
UNIINFO,Uniinfo Telecom Services Limited
UNIONBANK,Union Bank of India
UNIPARTS,Uniparts India Limited
UNITDSPR,United Spirits Limited
UNITECH,Unitech Limited
UNITEDPOLY,United Polyfab Gujarat Limited
UNITEDTEA,The United Nilgiri Tea Estates Company Limited
UNIVASTU,Univastu India Limited
UNIVCABLES,Universal Cables Limited
UNIVPHOTO,Universus Photo Imagings Limited
UNOMINDA,UNO Minda Limited
UPL,UPL Limited
URAVI,Uravi T and Wedge Lamps Limited
URJA,Urja Global Limited
USHAMART,Usha Martin Limited
USK,Udayshivakumar Infra Limited
UTIAMC,UTI Asset Management Company Limited
UTKARSHBNK,Utkarsh Small Finance Bank Limited
UTTAMSUGAR,Uttam Sugar Mills Limited
V2RETAIL,V2 Retail Limited
VADILALIND,Vadilal Industries Limited
VAIBHAVGBL,Vaibhav Global Limited
VAISHALI,Vaishali Pharma Limited
VAKRANGEE,Vakrangee Limited
VALIANTLAB,Valiant Laboratories Limited
VALIANTORG,Valiant Organics Limited
VARDHACRLC,Vardhman Acrylics Limited
VARDMNPOLY,Vardhman Polytex Limited
VARROC,Varroc Engineering Limited
VASCONEQ,Vascon Engineers Limited
VASWANI,Vaswani Industries Limited
VBL,Varun Beverages Limited
VEDL,Vedanta Limited
VENKEYS,Venky's (India) Limited
VENUSPIPES,Venus Pipes & Tubes Limited
VENUSREM,Venus Remedies Limited
VERANDA,Veranda Learning Solutions Limited
VERTOZ,Vertoz Advertising Limited
VESUVIUS,Vesuvius India Limited
VETO,Veto Switchgears And Cables Limited
VGUARD,V-Guard Industries Limited
VHL,Vardhman Holdings Limited
VIDHIING,Vidhi Specialty Food Ingredients Limited
VIJAYA,Vijaya Diagnostic Centre Limited
VIJIFIN,Viji Finance Limited
VIKASECO,Vikas EcoTech Limited
VIKASLIFE,Vikas Lifecare Limited
VIMTALABS,Vimta Labs Limited
VINATIORGA,Vinati Organics Limited
VINDHYATEL,Vindhya Telelinks Limited
VINEETLAB,Vineet Laboratories Limited
VINNY,Vinny Overseas Limited
VINYLINDIA,Vinyl Chemicals (India) Limited
VIPCLOTHNG,VIP Clothing Limited
VIPIND,VIP Industries Limited
VIPULLTD,Vipul Limited
VIRINCHI,Virinchi Limited
VISAKAIND,Visaka Industries Limited
VISHNU,Vishnu Chemicals Limited
VISHWARAJ,Vishwaraj Sugar Industries Limited
VIVIDHA,Visagar Polytex Limited
VLEGOV,VL E-Governance & IT Solutions Limited
VLSFINANCE,VLS Finance Limited
VMART,V-Mart Retail Limited
VOLTAMP,Voltamp Transformers Limited
VOLTAS,Voltas Limited
VPRPL,Vishnu Prakash R Punglia Limited
VRAJ,Vraj Iron and Steel Limited
VRLLOG,VRL Logistics Limited
VSSL,Vardhman Special Steels Limited
VSTIND,VST Industries Limited
VSTL,Vibhor Steel Tubes Limited
VSTTILLERS,V.S.T Tillers Tractors Limited
VTL,Vardhman Textiles Limited
WABAG,VA Tech Wabag Limited
WALCHANNAG,Walchandnagar Industries Limited
WANBURY,Wanbury Limited
WEALTH,Wealth First Portfolio Managers Limited
WEBELSOLAR,Websol Energy System Limited
WEIZMANIND,Weizmann Limited
WEL,Wonder Electricals Limited
WELCORP,Welspun Corp Limited
WELENT,Welspun Enterprises Limited
WELINV,Welspun Investments and Commercials Limited
WELSPUNLIV,Welspun Living Limited
WENDT,Wendt (India) Limited
WESTLIFE,WESTLIFE FOODWORLD LIMITED
WEWIN,WE WIN LIMITED
WHEELS,Wheels India Limited
WHIRLPOOL,Whirlpool of India Limited
WILLAMAGOR,Williamson Magor & Company Limited
WINDLAS,Windlas Biotech Limited
WINDMACHIN,Windsor Machines Limited
WINSOME,Winsome Yarns Limited
WIPL,The Western India Plywoods Limited
WIPRO,Wipro Limited
WOCKPHARMA,Wockhardt Limited
WONDERLA,Wonderla Holidays Limited
WORTH,Worth Peripherals Limited
WSI,W S Industries (I) Limited
WSTCSTPAPR,West Coast Paper Mills Limited
XCHANGING,Xchanging Solutions Limited
XELPMOC,Xelpmoc Design And Tech Limited
XPROINDIA,Xpro India Limited
YAARI,Yaari Digital Integrated Services Limited
YASHO,Yasho Industries Limited
YATHARTH,Yatharth Hospital & Trauma Care Services Limited
YATRA,Yatra Online Limited
YESBANK,Yes Bank Limited
YUKEN,Yuken India Limited
ZAGGLE,Zaggle Prepaid Ocean Services Limited
ZEEL,Zee Entertainment Enterprises Limited
ZEELEARN,Zee Learn Limited
ZEEMEDIA,Zee Media Corporation Limited
ZENITHEXPO,Zenith Exports Limited
ZENITHSTL,Zenith Steel Pipes & Industries Limited
ZENSARTECH,Zensar Technologies Limited
ZENTEC,Zen Technologies Limited
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited
ZIMLAB,Zim Laboratories Limited
ZODIAC,Zodiac Energy Limited
ZODIACLOTH,Zodiac Clothing Company Limited
ZOMATO,Zomato Limited
ZOTA,Zota Health Care LImited
ZUARI,Zuari Agro Chemicals Limited
ZUARIIND,ZUARI INDUSTRIES LIMITED
ZYDUSLIFE,Zydus Lifesciences Limited
ZYDUSWELL,Zydus Wellness Limited
